play_no,round,investment,age,propose_rule,agree_rule,reject_rule,argue,praises,complains,propose_punish,propose_reward,sample_vill,site_ID,playerid,edu,sex,role_yn,cont_lab,cont_money,reci_wat,crop_choice,dist_field,total_help,fes_village,treat,payment_form,position_game,disclosure,communication,L1_propose_rule,L1_agree_rule,L1_reject_rule,L1_praises,L1_argue,L1_propose_punish,L1_propose_reward,L1_propose_reward_others,L1_reject_rule_others,L1_agree_rule_others,L1_propose_rule_others,L1_propose_punish_others,L1_argue_others,L1_investment,aver_inv_other,L1_aver_inv_other,other_group_inv,wheat_choice_others,L1_wheat_choice_others,L1_crop_choice,L1_wheat_choice_other_group,damforfarming,otherinvestedmore,L1_otherinvestedmore
14,2,1000,30,0,0,0,0,0,0,0,0,1,1,2114,2,0,0,0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,2000,1783.333,1983.333,14400,0,0,1,0,0,1,1
10,2,1100,30,0,0,0,0,0,0,0,0,1,1,2110,2,1,1,0,0,0,1,12,1,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,1200,1900,2100,11000,1,0,1,0,0,0,0
3,2,500,24,0,0,0,0,0,0,0,0,1,1,2103,3,1,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,1000,1783.333,1983.333,14400,0,0,1,0,0,1,1
4,2,100,26,0,0,0,0,0,0,0,0,1,1,2104,3,1,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,3000,1900,2100,11000,1,0,1,0,0,0,0
13,2,3000,35,0,0,0,0,0,0,0,0,1,1,2113,3,1,0,0,0,0,1,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,3000,1783.333,1983.333,14400,0,0,1,0,0,1,1
14,3,2500,30,0,0,0,0,0,0,0,0,1,1,2114,2,0,0,0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,1000,1866.667,1783.333,13600,1,0,1,1,0,0,1
5,3,1500,55,0,0,0,0,0,0,0,0,1,1,2105,2,1,1,0,0,0,1,12,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,1200,1800,1900,14100,1,1,1,0,0,1,0
11,3,2300,22,0,0,0,0,0,0,0,0,1,1,2111,3,1,0,0,0,0,1,15,1,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,1200,1866.667,1783.333,13600,1,0,1,1,0,0,1
6,3,3000,49,0,0,0,0,0,0,0,0,1,1,2106,2,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,3000,1800,1900,14100,1,1,0,0,0,1,0
7,3,3000,27,0,0,0,0,0,0,0,0,1,1,2107,2,1,0,0,0,0,1,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,3000,1800,1900,14100,1,1,1,0,0,1,0
4,3,200,26,0,0,0,0,0,0,0,0,1,1,2104,3,1,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,100,1800,1900,14100,1,1,1,0,0,1,0
2,3,500,38,0,0,0,0,0,0,0,0,1,1,2102,2,1,0,1,1,0,1,20,2,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,2000,1866.667,1783.333,13600,1,0,1,1,0,0,1
9,3,3000,35,0,0,0,0,0,0,0,0,1,1,2109,2,1,1,0,0,0,1,15,2,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,3000,1800,1900,14100,1,1,1,0,0,1,0
13,3,3000,35,0,0,0,0,0,0,0,0,1,1,2113,3,1,0,0,0,0,1,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,3000,1866.667,1783.333,13600,1,0,1,1,0,0,1
3,3,1000,24,0,0,0,0,0,0,0,0,1,1,2103,3,1,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,500,1866.667,1783.333,13600,1,0,1,1,0,0,1
8,3,2800,26,0,0,0,0,0,0,0,0,1,1,2108,2,1,0,0,0,0,0,11,2,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,,3000,1766.667,1900,14100,2,1,1,0,0,1,0
10,3,100,30,0,0,0,0,0,0,0,0,1,1,2110,2,1,1,0,0,0,1,12,1,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,1100,1800,1900,14100,1,1,1,0,0,1,0
12,3,1900,35,0,0,0,0,0,0,0,0,1,1,2112,4,1,0,0,0,0,0,12,1,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,3000,1866.667,1783.333,13600,1,0,1,1,0,0,1
1,3,2900,23,0,0,0,0,0,0,0,0,1,1,2101,3,0,0,0,0,0,1,2,3,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,,300,2266.667,1500,13600,1,0,1,1,0,0,1
2,4,600,38,0,0,0,0,0,0,0,0,1,1,2102,2,1,0,1,1,0,1,20,2,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,500,1333.333,1866.667,13800,1,1,1,2,0,1,0
7,4,3000,27,0,0,0,0,0,0,0,0,1,1,2107,2,1,0,0,0,0,1,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,3000,1850,1800,10800,1,1,1,1,0,0,1
12,4,2900,35,0,0,0,0,0,0,0,0,1,1,2112,4,1,0,0,0,0,1,12,1,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,1900,1333.333,1866.667,13800,1,1,0,2,0,1,0
6,4,1900,49,0,0,0,0,0,0,0,0,1,1,2106,2,0,0,0,0,0,1,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,3000,1850,1800,10800,1,1,0,1,0,0,1
5,4,1400,55,0,0,0,0,0,0,0,0,1,1,2105,2,1,1,0,0,0,1,12,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,1500,1850,1800,10800,1,1,1,1,0,0,1
8,4,2700,26,0,0,0,0,0,0,0,0,1,1,2108,2,1,0,0,0,0,1,11,2,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,,2800,2000,1766.667,10800,1,2,0,1,0,0,1
1,4,2800,23,0,0,0,0,0,0,0,0,1,1,2101,3,0,0,0,0,0,1,2,3,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,,2900,1700,2266.667,13800,1,1,1,2,0,1,0
4,4,2500,26,0,0,0,0,0,0,0,0,1,1,2104,3,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,200,1850,1800,10800,1,1,1,1,0,0,1
14,4,200,30,0,0,0,0,0,0,0,0,1,1,2114,2,0,0,0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,2500,1333.333,1866.667,13800,1,1,1,2,0,1,0
11,4,1200,22,0,0,0,0,0,0,0,0,1,1,2111,3,1,0,0,0,0,1,15,1,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,2300,1333.333,1866.667,13800,1,1,1,2,0,1,0
9,4,1800,35,0,0,0,0,0,0,0,0,1,1,2109,2,1,1,0,0,0,1,15,2,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,3000,1850,1800,10800,1,1,1,1,0,0,1
3,4,100,24,0,0,0,0,0,0,0,0,1,1,2103,3,1,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,1000,1333.333,1866.667,13800,1,1,1,2,0,1,0
10,4,500,30,0,0,0,0,0,0,0,0,1,1,2110,2,1,1,0,0,0,1,12,1,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,100,1850,1800,10800,1,1,1,1,0,0,1
13,4,3000,35,0,0,0,0,0,0,0,0,1,1,2113,3,1,0,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,3000,1333.333,1866.667,13800,1,1,1,2,0,1,0
14,5,300,30,0,0,0,0,0,0,0,0,1,1,2114,2,0,0,0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,200,1566.667,1333.333,15100,1,1,1,1,0,1,1
8,5,2600,26,0,0,0,0,0,0,0,0,1,1,2108,2,1,0,0,0,0,1,11,2,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,,2700,2050,2000,9900,1,1,1,1,0,0,0
11,5,2100,22,0,0,0,0,0,0,0,0,1,1,2111,3,1,0,0,0,0,1,15,1,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,1200,1566.667,1333.333,15100,1,1,1,1,0,1,1
9,5,2800,35,0,0,0,0,0,0,0,0,1,1,2109,2,1,1,0,0,0,0,15,2,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,1800,2083.333,1850,9900,2,1,1,1,0,0,0
7,5,3000,27,0,0,0,0,0,0,0,0,1,1,2107,2,1,0,0,0,0,1,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,3000,2083.333,1850,9900,2,1,1,1,0,0,0
6,5,2800,49,0,0,0,0,0,0,0,0,1,1,2106,2,0,0,0,0,0,1,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,1900,2083.333,1850,9900,2,1,1,1,0,0,0
12,5,1500,35,0,0,0,0,0,0,0,0,1,1,2112,4,1,0,0,0,0,1,12,1,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,2900,1566.667,1333.333,15100,1,1,1,1,0,1,1
5,5,1300,55,0,0,0,0,0,0,0,0,1,1,2105,2,1,1,0,0,0,1,12,3,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,1400,2083.333,1850,9900,2,1,1,1,0,0,0
4,5,1100,26,0,0,0,0,0,0,0,0,1,1,2104,3,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,2500,2083.333,1850,9900,2,1,0,1,0,0,0
10,5,1500,30,0,0,0,0,0,0,0,0,1,1,2110,2,1,1,0,0,0,1,12,1,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,500,2083.333,1850,9900,2,1,1,1,0,0,0
13,5,3000,35,0,0,0,0,0,0,0,0,1,1,2113,3,1,0,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,3000,1566.667,1333.333,15100,1,1,0,1,0,1,1
1,5,500,23,0,0,0,0,0,0,0,0,1,1,2101,3,0,0,0,0,0,1,2,3,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,,2800,1400,1700,15100,1,1,1,1,0,1,1
2,5,1500,38,0,0,0,0,0,0,0,0,1,1,2102,2,1,0,1,1,0,1,20,2,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,600,1566.667,1333.333,15100,1,1,1,1,0,1,1
3,5,1000,24,0,0,0,0,0,0,0,0,1,1,2103,3,1,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,,100,1566.667,1333.333,15100,1,1,1,1,0,1,1
12,6,1500,35,0,1,0,0,0,0,1,0,1,1,2112,4,1,0,0,0,0,1,12,1,0,1,0,3,1,0,0,0,0,0,0,0,0,,,,,,,1500,2033.333,1566.667,8600,0,1,1,2,0,0,1
3,6,2900,24,0,1,0,0,0,0,1,0,1,1,2103,3,1,0,0,0,0,1,0,3,0,1,0,5,1,0,0,0,0,0,0,0,0,,,,,,,1000,2033.333,1566.667,8600,0,1,1,2,0,0,1
5,6,1000,55,0,2,0,0,0,0,0,0,1,1,2105,2,1,1,0,0,0,1,12,3,0,1,0,3,1,0,0,0,0,0,0,0,0,,,,,,,1300,933.3333,2083.333,12700,0,2,1,1,0,0,0
13,6,1900,35,2,0,0,0,0,0,0,0,1,1,2113,3,1,0,0,0,0,1,10,1,0,1,0,2,1,0,0,0,0,0,0,0,0,,,,,,,3000,2033.333,1566.667,8600,0,1,0,2,0,0,1
7,6,500,27,0,0,0,0,0,0,0,0,1,1,2107,2,1,0,0,0,0,1,20,1,0,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,3000,933.3333,2083.333,12700,0,2,1,1,0,0,0
14,6,1600,30,0,1,0,0,0,0,1,0,1,1,2114,2,0,0,0,0,0,1,15,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,300,2033.333,1566.667,8600,0,1,1,2,0,0,1
6,6,1500,49,0,0,0,0,1,0,0,0,1,1,2106,2,0,0,0,0,0,1,12,0,0,1,0,2,1,0,0,0,0,0,0,0,0,,,,,,,2800,933.3333,2083.333,12700,0,2,1,1,0,0,0
10,6,1500,30,2,0,0,0,0,0,0,0,1,1,2110,2,1,1,0,0,0,1,12,1,0,1,0,5,1,0,0,0,0,0,0,0,0,,,,,,,1500,933.3333,2083.333,12700,0,2,1,1,0,0,0
11,6,1300,22,0,0,0,0,0,0,0,0,1,1,2111,3,1,0,0,0,0,1,15,1,0,1,0,4,1,0,0,0,0,0,0,0,0,,,,,,,2100,2033.333,1566.667,8600,0,1,1,2,0,0,1
1,6,500,23,0,0,0,0,0,0,0,0,1,1,2101,3,0,0,0,0,0,1,2,3,0,1,0,7,1,0,0,0,0,0,0,0,0,,,,,,,500,1616.667,1400,8600,0,1,1,2,0,0,1
8,6,3000,26,0,0,0,0,0,0,1,0,1,1,2108,2,1,0,0,0,0,1,11,2,0,1,0,7,1,0,0,0,0,0,0,0,0,,,,,,,2600,1266.667,2050,12700,0,1,1,1,0,0,0
9,6,1000,35,0,0,0,1,0,0,0,0,1,1,2109,2,1,1,0,0,0,1,15,2,0,1,0,6,1,0,0,0,0,0,0,0,0,,,,,,,2800,933.3333,2083.333,12700,0,2,0,1,0,0,0
4,6,100,26,0,0,0,0,0,0,0,0,1,1,2104,3,1,1,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,,,,,,,1100,933.3333,2083.333,12700,0,2,0,1,0,0,0
2,6,3000,38,0,0,0,0,0,0,0,0,1,1,2102,2,1,0,1,1,0,1,20,2,0,1,0,6,1,0,0,0,0,0,0,0,0,,,,,,,1500,2033.333,1566.667,8600,0,1,1,2,0,0,1
1,7,2000,23,0,0,0,0,0,0,0,0,1,1,2101,3,0,0,0,0,0,1,2,3,0,1,0,7,1,1,0,0,0,0,0,0,0,0,0,3,2,3,0,500,1633.333,1616.667,15500,0,0,1,0,0,0,0
2,7,1700,38,0,0,0,0,0,0,0,0,1,1,2102,2,1,0,1,1,0,1,20,2,0,1,0,6,1,1,0,0,0,0,0,0,0,0,0,3,2,3,0,3000,1583.333,2033.333,15500,0,0,1,0,0,0,0
10,7,1500,30,0,0,0,0,0,0,0,0,1,1,2110,2,1,1,0,0,0,1,12,1,0,1,0,5,1,1,2,0,0,0,0,0,0,0,0,2,2,0,1,1500,2083.333,933.3333,11500,0,0,1,0,0,0,0
6,7,1500,49,0,0,0,0,0,0,0,0,1,1,2106,2,0,0,0,0,0,1,12,0,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,2,2,0,1,1500,2083.333,933.3333,11500,0,0,1,0,0,0,0
13,7,1500,35,0,0,0,0,0,0,0,0,1,1,2113,3,1,0,0,0,0,1,10,1,0,1,0,2,1,1,2,0,0,0,0,0,0,0,0,3,2,3,0,1900,1583.333,2033.333,15500,0,0,1,0,0,0,0
4,7,3000,26,0,0,0,0,0,0,0,0,1,1,2104,3,1,1,0,0,0,1,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,100,2083.333,933.3333,11500,0,0,1,0,0,0,0
8,7,3000,26,0,0,0,0,0,0,0,0,1,1,2108,2,1,0,0,0,0,1,11,2,0,1,0,7,1,1,0,0,0,0,0,1,0,0,0,2,2,1,0,3000,2083.333,1266.667,11500,0,0,1,0,0,0,0
3,7,500,24,0,0,0,0,0,0,0,0,1,1,2103,3,1,0,0,0,0,1,0,3,0,1,0,5,1,1,0,1,0,0,0,1,0,0,0,3,2,3,0,2900,1583.333,2033.333,15500,0,0,1,0,0,0,0
12,7,2000,35,0,0,0,0,0,0,0,0,1,1,2112,4,1,0,0,0,0,1,12,1,0,1,0,3,1,1,0,1,0,0,0,1,0,0,0,3,2,3,0,1500,1583.333,2033.333,15500,0,0,1,0,0,0,0
14,7,2000,30,0,0,0,0,0,0,0,0,1,1,2114,2,0,0,0,0,0,1,15,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,3,2,3,0,1600,1583.333,2033.333,15500,0,0,1,0,0,0,0
5,7,1500,55,0,0,0,0,0,0,0,0,1,1,2105,2,1,1,0,0,0,1,12,3,0,1,0,3,1,1,0,2,0,0,0,0,0,0,0,2,2,0,1,1000,2083.333,933.3333,11500,0,0,1,0,0,0,0
7,7,2000,27,0,0,0,0,0,0,0,0,1,1,2107,2,1,0,0,0,0,1,20,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,500,2083.333,933.3333,11500,0,0,1,0,0,0,0
9,7,3000,35,0,0,0,0,0,0,0,0,1,1,2109,2,1,1,0,0,0,1,15,2,0,1,0,6,1,1,0,0,0,0,1,0,0,0,0,2,2,0,1,1000,2083.333,933.3333,11500,0,0,1,0,0,0,0
11,7,1800,22,0,0,0,0,0,0,0,0,1,1,2111,3,1,0,0,0,0,1,15,1,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,3,2,3,0,1300,1583.333,2033.333,15500,0,0,1,0,0,0,0
12,8,,,0,0,0,0,0,0,0,0,1,1,2112,,1,,,,,,,1,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,,1583.333,,,0,1,0,0,,0
11,8,,,0,0,0,0,0,0,0,0,1,1,2111,,1,,,,,,,1,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,,1583.333,,,0,1,0,0,,0
9,8,,,0,0,0,0,0,0,0,0,1,1,2109,,1,,,,,,,2,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,,2083.333,,,0,1,0,0,,0
6,8,,,0,0,0,0,0,0,0,0,1,1,2106,,0,,,,,,,0,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,,2083.333,,,0,1,0,0,,0
14,8,,,0,0,0,0,0,0,0,0,1,1,2114,,0,,,,,,,0,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,,1583.333,,,0,1,0,0,,0
3,8,,,0,0,0,0,0,0,0,0,1,1,2103,,1,,,,,,,3,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,,1583.333,,,0,1,0,0,,0
2,8,,,0,0,0,0,0,0,0,0,1,1,2102,,1,,,,,,,2,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,,1583.333,,,0,1,0,0,,0
4,8,,,0,0,0,0,0,0,0,0,1,1,2104,,1,,,,,,,0,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,,2083.333,,,0,1,0,0,,0
1,8,,,0,0,0,0,0,0,0,0,1,1,2101,,0,,,,,,,3,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,,1633.333,,,0,1,0,0,,0
7,8,,,0,0,0,0,0,0,0,0,1,1,2107,,1,,,,,,,1,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,,2083.333,,,0,1,0,0,,0
13,8,,,0,0,0,0,0,0,0,0,1,1,2113,,1,,,,,,,1,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,,1583.333,,,0,1,0,0,,0
5,8,,,0,0,0,0,0,0,0,0,1,1,2105,,1,,,,,,,3,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,,2083.333,,,0,1,0,0,,0
10,8,,,0,0,0,0,0,0,0,0,1,1,2110,,1,,,,,,,1,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,,2083.333,,,0,1,0,0,,0
8,8,,,0,0,0,0,0,0,0,0,1,1,2108,,1,,,,,,,2,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,,2083.333,,,0,1,0,0,,0
13,9,,,0,0,0,0,0,0,0,0,1,1,2113,,1,,,,,,,1,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
5,9,,,0,0,0,0,0,0,0,0,1,1,2105,,1,,,,,,,3,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
9,9,,,0,0,0,0,0,0,0,0,1,1,2109,,1,,,,,,,2,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
11,9,,,0,0,0,0,0,0,0,0,1,1,2111,,1,,,,,,,1,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
8,9,,,0,0,0,0,0,0,0,0,1,1,2108,,1,,,,,,,2,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
7,9,,,0,0,0,0,0,0,0,0,1,1,2107,,1,,,,,,,1,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
1,9,,,0,0,0,0,0,0,0,0,1,1,2101,,0,,,,,,,3,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
12,9,,,0,0,0,0,0,0,0,0,1,1,2112,,1,,,,,,,1,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
6,9,,,0,0,0,0,0,0,0,0,1,1,2106,,0,,,,,,,0,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
4,9,,,0,0,0,0,0,0,0,0,1,1,2104,,1,,,,,,,0,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
10,9,,,0,0,0,0,0,0,0,0,1,1,2110,,1,,,,,,,1,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
3,9,,,0,0,0,0,0,0,0,0,1,1,2103,,1,,,,,,,3,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
14,9,,,0,0,0,0,0,0,0,0,1,1,2114,,0,,,,,,,0,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
2,9,,,0,0,0,0,0,0,0,0,1,1,2102,,1,,,,,,,2,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
7,10,,,0,0,0,0,0,0,0,0,1,1,2107,,1,,,,,,,1,0,,0,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,
